channelGrouping,visitNumber,operatingSystem,browser,deviceCategory,isMobile,metro,city,campaign,referralPath,medium,source,bounces,hits,transactionRevenue,pageviews,newVisits,year,month,quarterMonth,day,weekday,time_range,conversion_rate,session_duration,visit_frequency,user_interaction
4,1,9,5,0,False,0,250,0,197,5,23,1,1,0.0,1,1,2016,9,3,2,4,1,0.0,,1,0
4,1,6,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2016,9,3,2,4,4,0.0,31321.0,1,0
1,1,6,5,0,False,0,43,4,197,2,3,1,1,0.0,1,1,2016,9,3,2,4,3,0.0,20874.0,1,0
4,2,11,18,1,True,52,295,0,197,5,23,1,1,0.0,1,0,2016,9,3,2,4,0,0.0,22847.0,3,0
4,1,11,18,1,True,52,295,0,197,5,23,0,5,0.0,4,1,2016,9,3,2,4,4,0.0,-49978.0,3,1
4,1,9,5,0,False,0,43,0,197,5,23,0,7,0.0,5,1,2016,9,3,2,4,4,0.0,-4447.0,1,1
4,2,9,5,0,False,52,295,0,197,5,23,0,19,0.0,15,0,2016,9,3,2,4,4,0.0,6906.0,1,1
2,1,1,5,2,True,52,295,0,197,0,0,0,27,0.0,19,1,2016,9,3,2,4,4,0.0,-5585.0,1,1
4,3,11,18,1,True,52,295,0,197,5,23,0,49,0.0,32,0,2016,9,3,2,4,0,0.0,56090.0,3,1
7,1,9,8,0,False,52,295,0,160,6,75,1,1,0.0,1,1,2016,9,3,2,4,1,0.0,-69787.0,1,0
7,1,9,5,0,False,0,259,0,164,6,75,1,1,0.0,1,1,2016,9,3,2,4,4,0.0,15209.0,1,0
7,1,6,18,0,False,52,295,0,148,6,75,1,1,0.0,1,1,2016,9,3,2,4,3,0.0,15397.0,1,0
7,2,1,5,1,True,52,295,0,179,6,75,0,2,0.0,2,0,2016,9,3,2,4,4,0.0,-12928.0,3,1
2,7,6,18,0,False,0,246,0,197,0,0,1,1,0.0,1,0,2016,9,3,2,4,1,0.0,-9647.0,3,0
2,1,5,5,0,False,0,0,0,197,0,0,1,1,0.0,1,1,2016,9,3,2,4,0,0.0,48288.0,1,0
2,1,9,5,0,False,0,43,0,197,0,0,1,1,0.0,1,1,2016,9,3,2,4,3,0.0,-26137.0,1,0
2,1,1,5,1,True,52,295,0,197,0,0,0,2,0.0,2,1,2016,9,3,2,4,0,0.0,31636.0,1,1
7,1,9,5,0,False,0,19,0,0,6,19,0,3,0.0,2,1,2016,9,3,2,4,1,0.0,-66156.0,1,1
2,1,11,5,1,True,0,117,0,197,0,0,0,7,0.0,6,1,2016,9,3,2,4,4,0.0,31817.0,1,1
2,1,6,5,0,False,52,295,0,197,0,0,0,7,0.0,7,1,2016,9,3,2,4,4,0.0,-12076.0,1,1
4,1,1,5,1,True,26,148,0,197,5,23,1,1,0.0,1,1,2016,9,3,2,4,3,0.0,25629.0,1,0
4,1,6,18,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2016,9,3,2,4,0,0.0,23303.0,1,0
4,1,9,5,0,False,0,112,0,197,5,23,1,1,0.0,1,1,2016,9,3,2,4,4,0.0,-46668.0,1,0
4,1,9,5,0,False,52,295,0,197,5,23,1,1,0.0,1,1,2016,9,3,2,4,4,0.0,-2342.0,1,0
4,1,9,5,0,False,25,147,0,197,5,23,1,1,0.0,1,1,2016,9,3,2,4,4,0.0,-4411.0,3,0
7,1,9,7,0,False,52,295,0,129,6,75,1,1,0.0,1,1,2016,9,3,2,4,0,0.0,51270.0,1,0
7,1,9,5,0,False,52,295,0,129,6,75,1,1,0.0,1,1,2016,9,3,2,4,3,0.0,-22383.0,1,0
7,1,9,5,0,False,52,295,0,129,6,75,1,1,0.0,1,1,2016,9,3,2,4,0,0.0,13501.0,1,0
7,1,9,5,0,False,0,0,0,143,6,75,1,1,0.0,1,1,2016,9,3,2,4,4,0.0,-31182.0,1,0
7,3,1,5,1,True,52,295,0,179,6,75,1,1,0.0,1,0,2016,9,3,2,4,0,0.0,40078.0,3,0
7,1,9,5,0,False,52,295,0,179,6,75,1,1,0.0,1,1,2016,9,3,2,4,1,0.0,-67041.0,1,0
7,1,6,18,0,False,0,116,0,189,6,75,0,2,0.0,2,1,2016,9,3,2,4,1,0.0,6565.0,1,1
7,1,6,18,0,False,0,218,0,174,6,75,1,1,0.0,1,1,2016,9,3,2,4,1,0.0,3664.0,1,0
4,1,9,5,0,False,52,295,0,197,5,23,0,25,0.0,23,1,2017,1,1,26,3,3,0.0,12644820.0,1,1
7,1,1,5,1,True,52,295,0,160,6,75,0,4,0.0,4,1,2017,1,1,26,3,4,0.0,-15302.0,1,1
3,1,6,5,0,False,3,16,0,197,4,16,0,5,0.0,5,1,2017,1,1,26,3,3,0.0,14361.0,1,1
5,1,1,5,2,True,52,295,3,197,3,23,0,5,0.0,5,1,2017,1,1,26,3,4,0.0,-26451.0,1,1
6,1,1,5,1,True,52,295,0,101,6,66,0,8,0.0,8,1,2017,1,1,26,3,0,0.0,62527.0,1,1
2,3,6,5,0,False,45,195,0,197,0,0,0,2,0.0,1,0,2017,1,1,26,3,4,0.0,-43056.0,3,1
6,4,6,5,0,False,52,295,0,0,6,48,0,4,0.0,4,0,2017,1,1,26,3,3,0.0,13414.0,2,1
4,1,11,18,1,True,52,295,0,197,5,23,0,4,0.0,4,1,2017,1,1,26,3,3,0.0,-9403.0,1,1
2,10,6,5,0,False,45,257,0,197,0,0,0,8,0.0,5,0,2017,1,1,26,3,0,0.0,21007.0,3,1
6,13,6,5,0,False,52,295,0,0,6,48,0,9,0.0,9,0,2017,1,1,26,3,3,0.0,-16140.0,3,1
2,1,6,5,0,False,52,295,0,197,0,0,0,11,0.0,8,1,2017,1,1,26,3,3,0.0,-4090.0,1,1
